id,name,description,price
1,"Women's Trail Canvas Sneakers","Lightweight canvas sneakers designed for everyday comfort with cushioned support and a durable rubber outsole.",64.99
2,"Men's Summit Fleece Jacket","Soft midweight fleece jacket that delivers warmth and breathability for outdoor adventures.",89.00
3,"Recycled Adventure Backpack 30L","Durable backpack made from recycled materials with padded straps and multiple storage compartments.",119.50
4,"Women's Coastal Linen Shirt","Breathable linen shirt with a relaxed fit, perfect for warm-weather comfort.",74.00
5,"Insulated Stainless Steel Bottle 24oz","Double-wall vacuum insulated bottle keeps drinks hot or cold for hours.",29.99
6,"Men's Stretch Chino Pants","Classic chinos with added stretch for all-day comfort and mobility.",79.95
7,"Kids' Sunshield Rash Guard","Quick-drying rash guard with UPF 50+ protection for beach and pool days.",34.99
8,"Women's Lightweight Rain Jacket","Packable waterproof jacket designed to keep you dry without added bulk.",109.00
9,"All-Weather Hiking Socks","Moisture-wicking hiking socks with cushioned heel and toe for long treks.",18.99
10,"Men's Performance Training Tee","Breathable athletic tee with sweat-wicking fabric for workouts.",29.00
11,"Women's Ultraplush Hoodie","Soft fleece hoodie with a relaxed fit for everyday wear.",69.50
12,"Compact Travel Duffle Bag","Versatile duffle bag with reinforced handles and zippered pockets.",84.99
13,"Men's Thermal Base Layer Top","Fitted thermal top designed to retain heat in cold conditions.",49.95
14,"Women's Trail Running Shorts","Lightweight running shorts with built-in liner and stretch fabric.",45.00
15,"Eco-Friendly Yoga Mat","Non-slip yoga mat made from eco-conscious materials.",39.99
16,"Men's Waterproof Hiking Boots","Rugged boots with waterproof membrane and high-traction outsole.",149.00
17,"Women's Everyday Ballet Flats","Classic flats with cushioned footbed for all-day comfort.",59.99
18,"Outdoor Insulated Picnic Blanket","Water-resistant picnic blanket with soft fleece top layer.",54.95
19,"Men's Relaxed Fit Graphic Tee","Cotton graphic tee with a relaxed, casual fit.",27.50
20,"Women's Stretch Denim Jacket","Modern denim jacket with added stretch for mobility.",89.99
21,"Camping LED Lantern","Rechargeable lantern providing bright, long-lasting light.",44.00
22,"Men's Lightweight Puffer Vest","Insulated vest ideal for layering in cool weather.",99.95
23,"Women's Cozy Knit Beanie","Soft knit beanie designed to keep you warm in colder temperatures.",24.99
24,"Portable Power Bank 10000mAh","Compact power bank for charging devices on the go.",39.00
25,"Men's Classic Leather Belt","Genuine leather belt with a timeless buckle design.",35.00
26,"Women's Performance Tank Top","Moisture-wicking tank top ideal for training and yoga.",32.50
27,"Foldable Travel Backpack","Packable backpack that folds into its own pocket.",49.99
28,"Men's Relaxed Fit Jogger Pants","Comfortable joggers with elastic waistband and soft fabric.",64.95
29,"Women's Softshell Gloves","Wind-resistant gloves with touchscreen-compatible fingertips.",28.00
30,"Stainless Steel Cookware Set","Durable cookware set suitable for everyday cooking.",199.00
31,"Men's Casual Button-Down Shirt","Versatile cotton shirt suitable for work or weekends.",69.00
32,"Women's Lightweight Scarf","Soft woven scarf that adds warmth and style.",22.99
33,"Trail Trekking Poles","Adjustable trekking poles for stability on hikes.",89.50
34,"Men's Insulated Snow Pants","Waterproof snow pants with thermal insulation.",159.00
35,"Women's Slip-On Walking Shoes","Comfortable slip-on shoes with flexible sole.",74.99
36,"Bluetooth Wireless Earbuds","Compact earbuds with clear sound and long battery life.",79.95
37,"Men's Moisture-Wicking Polo","Performance polo shirt with breathable fabric.",55.00
38,"Women's Relaxed Fit Lounge Pants","Soft lounge pants perfect for relaxing at home.",49.00
39,"Insulated Lunch Cooler Bag","Compact cooler bag to keep food fresh.",34.50
40,"Men's Outdoor Utility Shorts","Durable shorts with multiple pockets for storage.",59.99
41,"Women's Trail Hiking Pants","Stretch hiking pants with reinforced knees.",99.00
42,"Stainless Steel Travel Mug","Insulated travel mug with spill-resistant lid.",27.99
43,"Men's Classic Crewneck Sweater","Soft knit sweater with timeless design.",79.00
44,"Women's Breathable Running Cap","Lightweight cap designed to keep you cool.",24.50
45,"Portable Folding Camp Chair","Lightweight chair with sturdy steel frame.",69.95
46,"Men's Everyday Walking Shoes","Comfort-focused walking shoes with cushioned sole.",89.99
47,"Women's Quilted Vest","Lightweight quilted vest for transitional weather.",84.00
48,"Multi-Purpose Tool Kit","Compact tool kit for home and travel use.",49.99
49,"Men's Performance Running Shorts","Quick-drying running shorts with stretch.",42.00
50,"Women's Soft Cotton Pajama Set","Comfortable pajama set made from breathable cotton.",58.99
51,"Hiking Daypack 18L","Compact daypack for short hikes and travel.",65.00
52,"Men's Waterproof Shell Jacket","Breathable waterproof shell for unpredictable weather.",139.00
53,"Women's Cushioned Ankle Socks","Everyday ankle socks with extra cushioning.",14.99
54,"Noise-Canceling Headphones","Over-ear headphones with active noise cancellation.",199.99
55,"Men's Lightweight Windbreaker","Packable windbreaker for breezy conditions.",74.95
56,"Women's Long Sleeve Performance Tee","Stretch performance tee for active wear.",39.00
57,"Portable Camping Stove","Compact stove suitable for outdoor cooking.",89.99
58,"Men's Insulated Winter Gloves","Warm insulated gloves for cold climates.",45.50
59,"Women's Trail Running Shoes","Lightweight shoes built for off-road running.",129.00
60,"Rechargeable LED Headlamp","Hands-free headlamp with adjustable brightness.",34.99
61,"Men's Casual Slip-On Loafers","Comfortable loafers for everyday wear.",79.00
62,"Women's Recycled Fleece Pullover","Soft fleece pullover made from recycled fibers.",69.99
63,"All-Purpose Cleaning Spray","Eco-friendly cleaner for multiple surfaces.",9.99
64,"Men's Outdoor Flannel Shirt","Warm flannel shirt with classic plaid design.",64.50
65,"Women's High-Rise Yoga Leggings","Supportive leggings with four-way stretch.",79.95
66,"Insulated Food Storage Containers","Set of reusable insulated food containers.",59.00
67,"Men's Lightweight Training Hoodie","Breathable hoodie designed for workouts.",72.99
68,"Women's Packable Down Jacket","Ultra-light down jacket that packs small.",149.99
69,"Digital Sports Watch","Water-resistant watch with fitness tracking.",119.00
70,"Men's Cotton Crew Socks","Soft everyday crew socks in a multipack.",19.99
71,"Women's Relaxed Fit Tunic Top","Flowy tunic top designed for comfort.",54.00
72,"Collapsible Water Container","Foldable container for camping and travel.",21.50
73,"Men's Trail Sandals","Durable sandals with adjustable straps.",64.99
74,"Women's Lightweight Cardigan","Soft cardigan ideal for layering.",59.50
75,"Portable Bluetooth Speaker","Compact speaker with rich sound quality.",69.00
76,"Men's Outdoor Base Layer Pants","Thermal pants for cold-weather activities.",55.00
77,"Women's Everyday Crossbody Bag","Compact crossbody bag with adjustable strap.",79.99
78,"Non-Slip Bath Mat","Quick-drying bath mat with non-slip backing.",29.00
79,"Men's Relaxed Fit Hoodie","Classic hoodie with soft fleece lining.",69.95
80,"Women's Insulated Snow Boots","Waterproof boots designed for winter conditions.",139.00
81,"Camping Cookware Set","Lightweight cookware set for outdoor meals.",109.99
82,"Men's Breathable Mesh Sneakers","Casual sneakers with breathable mesh upper.",74.50
83,"Women's Softshell Hiking Jacket","Wind- and water-resistant hiking jacket.",119.00
84,"Rechargeable Hand Warmer","Portable hand warmer with adjustable heat.",39.99
85,"Men's Slim Fit Jeans","Stretch denim jeans with a modern slim fit.",84.95
86,"Women's Long Down Parka","Warm parka designed for extreme cold.",229.00
87,"Travel Packing Cubes Set","Organize luggage with lightweight packing cubes.",34.99
88,"Men's Lightweight Dress Shoes","Formal shoes designed for comfort and style.",99.00
89,"Women's Cozy Slipper Socks","Soft slipper socks with grippy sole.",19.50
90,"Portable Laptop Stand","Adjustable stand for ergonomic laptop use.",49.95
91,"Men's Performance Golf Polo","Moisture-wicking polo designed for the course.",65.00
92,"Women's Breathable Sports Bra","Supportive sports bra with breathable fabric.",49.99
93,"Stainless Steel Mixing Bowls Set","Durable bowls for everyday cooking tasks.",44.00
94,"Men's Relaxed Fit Cargo Pants","Utility cargo pants with multiple pockets.",79.00
95,"Women's Lightweight Travel Pants","Wrinkle-resistant pants ideal for travel.",89.50
96,"Compact First Aid Kit","Essential first aid supplies in a portable case.",24.99
97,"Men's Insulated Trail Jacket","Warm jacket built for cold outdoor conditions.",159.00
98,"Women's Everyday Tote Bag","Spacious tote bag with reinforced handles.",69.00
99,"USB-C Fast Charging Cable","Durable cable supporting fast charging.",14.00
100,"Men's Casual Canvas Sneakers","Everyday sneakers with classic canvas styling.",59.99
